Ref,Val,Package,PosX,PosY,Rot,Side
"CB1","4.7u","C_0805_2012Metric",124.555600,-99.293600,-90.000000,top
"CB2","4.7u","C_0805_2012Metric",132.805600,-112.793600,180.000000,top
"CB3","4.7u","C_0805_2012Metric",132.305600,-91.793600,0.000000,top
"CB4","4.7u","C_0805_2012Metric",145.305600,-98.543600,-90.000000,top
"CD1","4.7u","C_0402_1005Metric",128.055600,-99.543600,-90.000000,top
"CD2","100n","C_0402_1005Metric",132.305600,-95.293600,0.000000,top
"CD3","100n","C_0402_1005Metric",143.305600,-99.043600,-90.000000,top
"CD4","100n","C_0402_1005Metric",132.805600,-110.793600,180.000000,top
"CD5","100n","C_0402_1005Metric",126.555600,-99.543600,-90.000000,top
"CD6","100n","C_0402_1005Metric",132.305600,-93.793600,0.000000,top
"CMS1","10n","C_0805_2012Metric",129.082800,-113.690400,0.000000,top
"CMS2","1u","C_0805_2012Metric",125.374400,-114.350800,-90.000000,top
"CMS3","10n","C_0805_2012Metric",126.923800,-109.524800,180.000000,top
"CR1","22uF","C_0402_1005Metric",145.542000,-111.683800,-90.000000,top
"CR2","22uF","C_0402_1005Metric",153.543000,-121.767600,-90.000000,top
"CR3","22uF","C_0402_1005Metric",150.139400,-112.496600,180.000000,top
"Cl1","2pF","C_0402_1005Metric",126.055600,-95.043600,0.000000,top
"Cl2","2pF","C_0402_1005Metric",128.555600,-95.043600,180.000000,top
"Cl3","10pF","C_0402_1005Metric",125.222000,-107.337800,-90.000000,top
"Cl4","10pF","C_0402_1005Metric",126.805600,-103.043600,-90.000000,top
"D1","LED_Small","LED_0805_2012Metric",151.460200,-92.887800,180.000000,top
"D2","LED_Small","LED_0805_2012Metric",151.511000,-89.179400,180.000000,top
"DEXT1","D_Schottky","AQ120501ETG",153.543000,-111.531400,0.000000,top
"IC1","STM32L412RBT6P","QFP50P1200X1200X160-64N",135.636000,-103.022400,0.000000,top
"J1","Conn_01x04","502382-0470",149.555600,-125.621600,180.000000,top
"J2","Conn_01x04","502382-0470",129.616200,-88.155000,0.000000,top
"J3","Conn_01x04","502382-0470",119.295400,-115.543600,90.000000,top
"J4","Conn_01x04","502382-0470",119.227600,-96.543600,90.000000,top
"J5","AVR-JTAG-10","FTSH10501LDVK",141.967900,-88.442800,90.000000,top
"J6","Micro_SD_Card","693072010801",136.055600,-123.043600,180.000000,top
"J7","USB_B","GMCB05B11124H1EU",152.679400,-100.685600,90.000000,top
"J8","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",157.200600,-111.760000,0.000000,top
"LMS1","39nH","L_0805_2012Metric",127.050800,-111.506000,0.000000,top
"LR1","39nH","L_0805_2012Metric",150.063200,-111.023400,0.000000,top
"R1","1k","R_0805_2012Metric",147.320000,-92.811600,0.000000,top
"R2","1k","R_0805_2012Metric",147.345400,-89.179400,0.000000,top
"RExt1","2K","R_0603_1608Metric",126.805600,-105.943400,-90.000000,top
"RSPI1","1K","R_0402_1005Metric",137.591800,-113.944400,-90.000000,top
"RSPI2","1K","R_0402_1005Metric",138.633200,-113.944400,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",150.291800,-116.738400,0.000000,top
"Y1","Crystal","ABS05W32768KHZD2T",127.555600,-92.793600,0.000000,top
"Y2","Crystal","ECS80830QVSTR",120.954800,-105.791000,90.000000,top
